1	amending	意味: 改正している；修正している\n基本形: amend\nアクセント: ə-MĔND\n類義語: revising, correcting, modifying	audio/001_amending.mp3
2	constitution	意味: 憲法；構成\nアクセント: kŏn-stə-TŪ-shən\n類義語: charter, framework, structure	audio/002_constitution.mp3
3	Constitution	意味: （米国の）合衆国憲法\nアクセント: kŏn-stə-TŪ-shən\n類義語: charter, fundamental law, basic law	audio/003_constitution.mp3
4	amended	意味: 改正された；修正された\n基本形: amend\nアクセント: ə-MĔND\n類義語: revised, corrected, altered	audio/004_amended.mp3
5	effect	意味: 効果；影響；（法・規則などを）発効させる\nアクセント: ĭ-FĔKT\n類義語: result, impact, consequence	audio/005_effect.mp3
6	amendments	意味: 改正条項；修正\n基本形: amendment\nアクセント: ə-MĔND-mənt\n類義語: revisions, modifications, alterations	audio/006_amendments.mp3
7	consist	意味: 成る；構成される\nアクセント: kən-SĬST\n類義語: comprise, be made up of, include	audio/007_consist.mp3
8	the Bill of Rights	意味: 権利章典\nアクセント: bĭl əv RĪTS\n類義語: civil liberties, constitutional rights, fundamental rights	audio/008_the_bill_of_rights.mp3
9	amendment	意味: 改正；修正条項\nアクセント: ə-MĔND-mənt\n類義語: revision, modification, alteration	audio/009_amendment.mp3
10	time-consuming	意味: 時間のかかる\nアクセント: TĪM kən-sū-mĭng\n類義語: lengthy, laborious, tedious	audio/010_time_consuming.mp3
11	cumbersome	意味: 扱いにくい；煩雑な\nアクセント: KŬM-bər-səm\n類義語: unwieldy, clumsy, awkward	audio/011_cumbersome.mp3
12	the land	意味: 国土；（比喩的に）国家\nアクセント: thə LĂND\n類義語: territory, nation, country	audio/012_the_land.mp3
13	subject	意味: 主題；被験者；〜に従わせる；〜の支配下にある\nアクセント: （名詞・形容詞）SŬB-jĭkt / （動詞）səb-JĔKT\n類義語: topic, theme, subordinate	audio/013_subject.mp3
14	the whims of special-interest	意味: 特殊利益集団の気まぐれ（思惑）\nアクセント: wĭmz əv spĕsh-əl ĬN-trĕst\n類義語: caprices, impulses, agendas	audio/014_the_whims_of_special_interest.mp3
15	factions	意味: 派閥；党派\n基本形: faction\nアクセント: FĂK-shən\n類義語: groups, blocs, parties	audio/015_factions.mp3
16	majority of the population	意味: 人口の大多数\nアクセント: mə-JÔR-ĭ-tē əv thə pä-pyə-LĀ-shən\n類義語: most people, bulk of citizens, greater part	audio/016_majority_of_the_population.mp3
17	any given time	意味: 任意のある時点；その時々\nアクセント: ĕn-ē gĭv-ən TĪM\n類義語: any moment, a particular time, one point	audio/017_any_given_time.mp3
18	constitution	意味: 憲法；構成\nアクセント: kŏn-stə-TŪ-shən\n類義語: charter, framework, structure	audio/018_constitution.mp3
19	confine	意味: 制限する；閉じ込める\nアクセント: kən-FĪN\n類義語: restrict, limit, enclose	audio/019_confine.mp3
20	primarily	意味: 主として；第一に\nアクセント: prī-MER-ə-lē\n類義語: mainly, chiefly, principally	audio/020_primarily.mp3
21	procedures	意味: 手続き；手順\n基本形: procedure\nアクセント: prə-SĒ-jər\n類義語: processes, methods, protocols	audio/021_procedures.mp3
22	By coontrast	意味: 対照的に（※ contrast の綴り違いと考えられる）\nアクセント: bə kən-TRĂST\n類義語: in contrast, conversely, on the other hand	audio/022_by_coontrast.mp3
23	constitution	意味: 憲法；構成\nアクセント: kŏn-stə-TŪ-shən\n類義語: charter, framework, structure	audio/023_constitution.mp3
24	lenghy	意味: 長い；冗長な（※ lengthy の綴り違いと考えられる）\nアクセント: LĔNG-thē\n類義語: long, extended, prolonged	audio/024_lenghy.mp3
25	amounts to	意味: 〜に相当する；結局〜になる\n基本形: amount to\nアクセント: ə-MOUNT tə\n類義語: equals, comes to, adds up to	audio/025_amounts_to.mp3
26	statue law	意味: 制定法（※ statute law の綴り違いと考えられる）\nアクセント: STĂCH-ūt lô\n類義語: statutory law, enacted law, written law	audio/026_statue_law.mp3
27	frequent	意味: 頻繁な；しばしば訪れる\nアクセント: FRĒ-kwənt\n類義語: common, regular, recurrent	audio/027_frequent.mp3
28	embodies	意味: 具現化する；含む\n基本形: embody\nアクセント: ĕm-BŎD-ē\n類義語: represents, personifies, incorporates	audio/028_embodies.mp3
29	provisions	意味: 条項；規定；準備\n基本形: provision\nアクセント: prə-VĬZH-ən\n類義語: clauses, stipulations, arrangements	audio/029_provisions.mp3
30	guarantee	意味: 保証；保証する\nアクセント: găr-ən-TĒ\n類義語: assure, warrant, pledge	audio/030_guarantee.mp3
31	employment	意味: 雇用；就業\nアクセント: ĭm-PLOI-mənt\n類義語: work, occupation, job	audio/031_employment.mp3
32	fail	意味: 失敗する；果たせない\nアクセント: FĀL\n類義語: fall short, collapse, flunk	audio/032_fail.mp3
33	live up	意味: （期待・基準に）応える\nアクセント: lĭv ŬP\n類義語: fulfill, meet, satisfy	audio/033_live_up.mp3
34	promises	意味: 約束；公約；約束する\n基本形: promise\nアクセント: PRŎM-ĭs\n類義語: pledges, vows, assurances	audio/034_promises.mp3
35	Prohibitaion Amendment	意味: 禁酒法修正条項（※ Prohibition Amendment の綴り違いと考えられる）\nアクセント: prō-ə-bĭ-SHƏN ə-MĔND-mənt\n類義語: Eighteenth Amendment, temperance amendment, dry amendment	audio/035_prohibitaion_amendment.mp3
36	prohibiting	意味: 禁止している\n基本形: prohibit\nアクセント: prō-HĬB-ĭt\n類義語: banning, forbidding, barring	audio/036_prohibiting.mp3
37	beverages	意味: 飲料\n基本形: beverage\nアクセント: BĔV-ər-ĭj\n類義語: drinks, refreshments, liquids	audio/037_beverages.mp3
38	represented	意味: 代表した；示した\n基本形: represent\nアクセント: rĕp-rĭ-ZĔNT\n類義語: stood for, symbolized, reflected	audio/038_represented.mp3
39	desires	意味: 欲求；願望；望む\n基本形: desire\nアクセント: dĭ-ZĪR\n類義語: wishes, wants, longings	audio/039_desires.mp3
40	substantial	意味: かなりの；実質的な\nアクセント: səb-STĂN-shəl\n類義語: considerable, significant, sizeable	audio/040_substantial.mp3
41	faction	意味: 派閥；分派\nアクセント: FĂK-shən\n類義語: group, bloc, clique	audio/041_faction.mp3
42	prooved	意味: 証明した（※ proved/proven の綴り違いと考えられる）\n基本形: prove\nアクセント: PRŪV\n類義語: demonstrated, verified, confirmed	audio/042_prooved.mp3
43	unenfoceable	意味: 強制できない（※ unenforceable の綴り違いと考えられる）\nアクセント: ŭn-ĭn-FÔRS-ə-bəl\n類義語: impracticable, unworkable, invalid	audio/043_unenfoceable.mp3
44	muserably	意味: みじめに；ひどく（※ miserably の綴り違いと考えられる）\nアクセント: MĬZ-ər-ə-blē\n類義語: badly, terribly, wretchedly	audio/044_muserably.mp3
45	disliked	意味: 嫌われた；嫌った\n基本形: dislike\nアクセント: dĭs-LĪK\n類義語: hated, loathed, detested	audio/045_disliked.mp3
46	obey	意味: 従う；守る\nアクセント: ō-BĀ\n類義語: comply, follow, heed	audio/046_obey.mp3
47	repealed	意味: 廃止された；撤回された\n基本形: repeal\nアクセント: rĭ-PĒL\n類義語: revoked, rescinded, annulled	audio/047_repealed.mp3
48	withdrawn	意味: 撤回された；取り下げられた\n基本形: withdraw\nアクセント: wĭth-DRÔ\n類義語: retracted, removed, pulled back	audio/048_withdrawn.mp3
49	Amendment	意味: 改正条項；修正\nアクセント: ə-MĔND-mənt\n類義語: revision, modification, alteration	audio/049_amendment.mp3
