1	concept	意味: 概念；考え方\nアクセント: KŎN-sept\n類義語: idea, notion, principle	audio/001_concept.mp3
2	measure	意味: 測定する；対策\nアクセント: MEZH-ər\n類義語: assess, gauge, action	audio/002_measure.mp3
3	shaped	意味: 形成した；形作った\n基本形: shape\nアクセント: shāp\n類義語: formed, molded, influenced	audio/003_shaped.mp3
4	consumption	意味: 消費；消費量\nアクセント: kən-SƏMP-shən\n類義語: use, utilization, spending	audio/004_consumption.mp3
5	generate	意味: 生み出す；発生させる\nアクセント: JEN-ə-rāt\n類義語: produce, create, cause	audio/005_generate.mp3
6	concern	意味: 懸念；心配する\nアクセント: kən-SƏRN\n類義語: worry, issue, anxiety	audio/006_concern.mp3
7	depletion	意味: 枯渇；減少\nアクセント: dĭ-PLĒ-shən\n類義語: exhaustion, reduction, draining	audio/007_depletion.mp3
8	fossil fuels	意味: 化石燃料\n基本形: fossil fuel\nアクセント: FÔS-əl FYŪ-əlz\n類義語: coal, oil, natural gas	audio/008_fossil_fuels.mp3
9	fertile soil	意味: 肥沃な土壌\nアクセント: FƏR-təl soil\n類義語: rich soil, productive land, arable earth	audio/009_fertile_soil.mp3
10	replenish	意味: 補充する；回復させる\nアクセント: rĭ-PLEN-ĭsh\n類義語: refill, restore, renew	audio/010_replenish.mp3
11	imbalances	意味: 不均衡；アンバランス（複数）\n基本形: imbalance\nアクセント: ĭm-BAL-əns\n類義語: disparities, inequalities, disequilibria	audio/011_imbalances.mp3
12	disrupts entire ecosystems	意味: 生態系全体を混乱させる\n基本形: disrupt entire ecosystem\nアクセント: dĭs-RƏPT en-TĪR Ē-kō-ˌsĭs-təmz\n類義語: destabilizes ecosystems, harms ecological systems, upsets natural balance	audio/012_disrupts_entire_ecosystems.mp3
13	degradation	意味: 劣化；悪化\nアクセント: dèg-rə-DĀ-shən\n類義語: deterioration, decline, damage	audio/013_degradation.mp3
14	refers	意味: 言及する；指す\n基本形: refer\nアクセント: rĭ-FƏR\n類義語: mentions, denotes, indicates	audio/014_refers.mp3
15	decline	意味: 減少；衰退する\nアクセント: dĭ-KLĪN\n類義語: decrease, deteriorate, downturn	audio/015_decline.mp3
16	lndustrial activities	意味: 産業活動\n基本形: industrial activity\nアクセント: ĭn-DƏS-trē-əl ăk-TĬV-ə-tēz\n類義語: manufacturing activities, industrial operations, factory production	audio/016_lndustrial_activities.mp3
17	urban expansion	意味: 都市拡大；市街地拡張\nアクセント: ƏR-bən ĭk-SPAN-shən\n類義語: urban growth, city sprawl, metropolitan expansion	audio/017_urban_expansion.mp3
18	intensive agriculture	意味: 集約的農業\nアクセント: ĭn-TEN-sĭv AG-rĭ-ˌkəl-chər\n類義語: high-input farming, intensive farming, industrial agriculture	audio/018_intensive_agriculture.mp3
19	pollution	意味: 汚染；公害\nアクセント: pə-LŪ-shən\n類義語: contamination, impurity, fouling	audio/019_pollution.mp3
20	biodiversity	意味: 生物多様性\nアクセント: bī-ō-dī-VƏR-sə-tē\n類義語: ecological variety, species richness, biological diversity	audio/020_biodiversity.mp3
21	Degraded	意味: 劣化した；質が落ちた\n基本形: degrade\nアクセント: dĭ-GRĀD\n類義語: deteriorated, damaged, impaired	audio/021_degraded.mp3
22	capable of providing	意味: 提供できる；供給可能な\nアクセント: KĀ-pə-bəl əv prə-VĪ-dĭng\n類義語: able to supply, fit to deliver, competent to provide	audio/022_capable_of_providing.mp3
23	stable climates	意味: 安定した気候\n基本形: stable climate\nアクセント: STĀ-bəl KLĪ-məts\n類義語: steady climates, consistent weather patterns, balanced climate systems	audio/023_stable_climates.mp3
24	healthy food supplies	意味: 健康的な食料供給\n基本形: healthy food supply\nアクセント: HEL-thē fūd sə-PLĪZ\n類義語: nutritious food resources, safe food availability, wholesome food provision	audio/024_healthy_food_supplies.mp3
25	brings	意味: もたらす；連れてくる\n基本形: bring\nアクセント: brĭng\n類義語: delivers, causes, leads to	audio/025_brings.mp3
26	sustainability	意味: 持続可能性\nアクセント: sə-ˌstā-nə-BĬL-ə-tē\n類義語: durability, viability, long-term balance	audio/026_sustainability.mp3
27	aims	意味: 目指す；目的\n基本形: aim\nアクセント: ām\n類義語: seeks, targets, intends	audio/027_aims.mp3
28	balance present	意味: 現在のバランスを取る\nアクセント: BAL-əns PREZ-ənt\n類義語: maintain current balance, harmonize present needs, keep equilibrium now	audio/028_balance_present.mp3
29	ability	意味: 能力；できること\nアクセント: ə-BĬL-ə-tē\n類義語: capacity, capability, competence	audio/029_ability.mp3
30	to meet their own	意味: 自分たち自身の～を満たすために\nアクセント: tə mēt thâr ōn\n類義語: to satisfy their own, to fulfill their own, to address their own	audio/030_to_meet_their_own.mp3
31	renewable sources	意味: 再生可能な資源（エネルギー源）\n基本形: renewable source\nアクセント: rĭ-NŪ-ə-bəl SÔR-səz\n類義語: sustainable resources, green energy sources, replenishable inputs	audio/031_renewable_sources.mp3
32	sigjnificant	意味: 重要な；著しい\n基本形: significant（スペル補正）\nアクセント: sig-NIF-ə-kənt\n類義語: important, substantial, meaningful	audio/032_sigjnificant.mp3
33	both	意味: 両方；～も～も\nアクセント: bōth\n類義語: the two, each, as well as	audio/033_both.mp3
34	individual	意味: 個人の；個人\nアクセント: ìn-də-VĬJ-ōō-əl\n類義語: personal, single, private	audio/034_individual.mp3
35	responsibility	意味: 責任；責務\nアクセント: rĭ-ˌspŏn-sə-BĬL-ə-tē\n類義語: duty, obligation, accountability	audio/035_responsibility.mp3
36	collective action	意味: 集団行動；共同の取り組み\nアクセント: kə-LEK-tĭv AK-shən\n類義語: joint effort, coordinated action, cooperative movement	audio/036_collective_action.mp3
37	minimize waste and encourage efficient	意味: 廃棄を最小化し、効率的な〜を促進する\nアクセント: MĬN-ə-mīz wāst and en-KƏR-ĭj ĭ-FĬSH-ənt\n類義語: reduce waste and promote efficiency, cut waste and support effective use, limit waste and improve efficiency	audio/037_minimize_waste_and_encourage_efficient.mp3
38	prioritize sustainability	意味: 持続可能性を優先する\nアクセント: prī-ÔR-ə-ˌtīz sə-ˌstā-nə-BĬL-ə-tē\n類義語: put sustainability first, emphasize sustainability, give priority to sustainable practice	audio/038_prioritize_sustainability.mp3
39	prevent degradation	意味: 劣化を防ぐ\nアクセント: pri-VENT dèg-rə-DĀ-shən\n類義語: avoid deterioration, stop environmental damage, curb degradation	audio/039_prevent_degradation.mp3
40	ensure a healthier planet	意味: より健全な地球を確保する\nアクセント: en-SHŮR ə HEL-thē-ər PLAN-ĭt\n類義語: secure a healthier Earth, guarantee a better planet, maintain global well-being	audio/040_ensure_a_healthier_planet.mp3
41	for generations to come	意味: 将来の世代のために\nアクセント: fər jèn-ə-RĀ-shənz tə kəm\n類義語: for future generations, for those yet to be born, in the long term	audio/041_for_generations_to_come.mp3
